2023-03-18 19:45:35,983 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 19:45:35,987 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778, режим работы: test1
2023-03-18 19:45:35,987 CRITICAL   client.py Не удалось подключиться к серверу 127.0.0.1:7778, конечный компьютер отверг запрос на подключение.
2023-03-18 19:45:36,202 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 19:45:36,208 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778, режим работы: test2
2023-03-18 19:45:36,208 CRITICAL   client.py Не удалось подключиться к серверу 127.0.0.1:7778, конечный компьютер отверг запрос на подключение.
2023-03-18 19:45:53,058 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 19:45:53,063 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7779, режим работы: test1
2023-03-18 19:45:53,063 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test1',), {}. Вызов из модуля __main__
2023-03-18 19:45:53,063 DEBUG      client.py Сформировано presence сообщение для пользователя test1
2023-03-18 19:45:53,063 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55024), raddr=('127.0.0.1', 7779)>, {'action': 'presence', 'time': 1679154353.0636373, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля utils
2023-03-18 19:45:53,063 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55024), raddr=('127.0.0.1', 7779)>,), {}. Вызов из модуля utils
2023-03-18 19:45:53,285 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 19:45:53,289 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7779, режим работы: test2
2023-03-18 19:45:53,289 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test2',), {}. Вызов из модуля __main__
2023-03-18 19:45:53,289 DEBUG      client.py Сформировано presence сообщение для пользователя test2
2023-03-18 19:45:53,289 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55038), raddr=('127.0.0.1', 7779)>, {'action': 'presence', 'time': 1679154353.2895126, 'user': {'account_name': 'test2'}}), {}. Вызов из модуля utils
2023-03-18 19:45:53,289 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55038), raddr=('127.0.0.1', 7779)>,), {}. Вызов из модуля utils
2023-03-18 19:45:53,290 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 19:45:53,290 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 19:45:53,290 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 19:45:53,290 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 19:45:53,290 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 19:45:53,290 INFO       client.py Принят ответ от сервера 200 : OK
