2023-03-30 23:45:49,519 DEBUG      decor.py Была вызвана функция arg_parser c параметрами ('7777', ''), {}. Вызов из модуля __main__
2023-03-30 23:45:50,518 INFO       server.py Запущен сервер, порт для подключений: 7777 , адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2023-03-30 23:45:50,894 INFO       server.py Установлено соедение с ПК ('127.0.0.1', 37446)
2023-03-30 23:45:50,895 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,895 DEBUG      server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1680205550.8947985, 'user': {'account_name': 'test2'}}
2023-03-30 23:45:50,978 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>, {'response': 200}), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,978 INFO       server.py Установлено соедение с ПК ('127.0.0.1', 37452)
2023-03-30 23:45:50,978 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=20, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37452)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,979 DEBUG      server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1680205550.9182453, 'user': {'account_name': 'test1'}}
2023-03-30 23:45:51,042 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=20, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37452)>, {'response': 200}), {}. Вызов из модуля common.utils
2023-03-30 23:45:51,543 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>,), {}. Вызов из модуля common.utils
